ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Year,Month,Month Name,Day,Customer_Date
5524,1957,Graduation,Single,58138,0,0,4/9/2012 0:00,58,635,88,546,172,88,88,3,8,10,4,7,2012,4,April,9,4/9/2012
2174,1954,Graduation,Single,46344,1,1,8/3/2014 0:00,38,11,1,6,2,1,6,2,1,1,2,5,2014,8,August,3,8/3/2014
6182,1984,Graduation,Married,26646,1,0,10/2/2014 0:00,26,11,4,20,10,3,5,2,2,0,4,6,2014,10,October,2,10/2/2014
7446,1967,Master,Married,62513,0,1,9/9/2013 0:00,16,520,42,98,0,42,14,2,6,4,10,6,2013,9,September,9,9/9/2013
6177,1985,PhD,Married,33454,1,0,8/5/2013 0:00,32,76,10,56,3,1,23,2,4,0,4,8,2013,8,August,5,8/5/2013
4855,1974,PhD,Married,30351,1,0,6/6/2013 0:00,19,14,0,24,3,3,2,1,3,0,2,9,2013,6,June,6,6/6/2013
2569,1987,Graduation,Married,17323,0,0,10/10/2012 0:00,38,3,14,17,6,1,5,1,1,0,3,8,2012,10,October,10,10/10/2012
2278,1985,Second cycle degree,Single,33812,1,0,3/11/2012 0:00,86,4,17,19,30,24,39,2,2,1,3,6,2012,3,March,11,3/11/2012
9360,1982,Graduation,Married,37040,0,0,8/8/2012 0:00,41,86,2,73,69,38,48,1,4,2,5,8,2012,8,August,8,8/8/2012
5376,1979,Graduation,Married,2447,1,0,6/1/2013 0:00,42,1,1,1725,1,1,1,15,0,28,0,1,2013,6,June,1,6/1/2013
4047,1954,PhD,Married,65324,0,1,11/1/2014 0:00,0,384,0,102,21,32,5,3,6,2,9,4,2014,11,November,1,11/1/2014
7892,1969,Graduation,Single,18589,0,0,2/1/2013 0:00,89,6,4,25,15,12,13,2,2,1,3,7,2013,2,February,1,2/1/2013
3033,1963,Master,Married,38620,0,0,11/5/2013 0:00,56,112,17,44,34,22,89,1,2,5,3,3,2013,11,November,5,11/5/2013
5710,1970,Graduation,Married,40548,0,1,10/10/2012 0:00,31,110,0,5,2,0,3,2,2,1,4,5,2012,10,October,10,10/10/2012
10755,1976,Second cycle degree,Married,23718,1,0,2/9/2013 0:00,76,6,3,14,15,7,36,3,3,1,2,7,2013,2,February,9,2/9/2013
8595,1973,Graduation,Widow,42429,0,1,11/2/2014 0:00,99,55,0,6,2,0,4,2,1,1,3,5,2014,11,November,2,11/2/2014
2968,1943,PhD,Divorced,48948,0,0,1/2/2013 0:00,53,437,8,206,160,49,42,2,7,10,5,6,2013,1,January,2,1/2/2013
503,1985,Master,Married,20559,1,0,12/3/2013 0:00,88,13,1,29,3,0,7,2,2,0,3,8,2013,12,December,3,12/3/2013
7281,1959,PhD,Single,,0,0,5/11/2013 0:00,80,81,11,50,3,2,39,1,1,3,4,2,2013,5,May,11,5/11/2013
2139,1975,Master,Married,7500,1,0,2/10/2013 0:00,19,3,1,10,3,2,12,3,2,0,3,5,2013,2,February,10,2/10/2013
9909,1996,Second cycle degree,Married,7500,0,0,9/11/2012 0:00,24,3,18,14,15,22,50,3,3,1,3,9,2012,9,September,11,9/11/2012
7244,1951,Graduation,Single,,2,1,1/1/2014 0:00,96,48,5,48,6,10,7,3,2,1,4,6,2014,1,January,1,1/1/2014
6566,1954,PhD,Married,72550,1,1,8/11/2012 0:00,39,826,50,317,50,38,38,9,5,2,12,8,2012,8,August,11,8/11/2012
8614,1957,Graduation,Widow,65486,0,1,12/5/2014 0:00,29,245,19,125,37,67,14,1,4,2,10,2,2014,12,December,5,12/5/2014
4114,1964,Master,Married,79143,0,0,11/8/2012 0:00,2,650,37,780,27,167,32,1,6,9,13,3,2012,11,November,8,11/8/2012
1331,1977,Graduation,Single,35790,1,0,2/1/2013 0:00,54,12,6,20,30,1,3,2,2,0,3,7,2013,2,February,1,2/1/2013
2225,1977,Graduation,Divorced,82582,0,0,7/6/2014 0:00,54,510,120,550,156,40,241,1,4,9,7,1,2014,7,July,6,7/6/2014
9381,1978,Graduation,Married,66373,1,1,12/6/2013 0:00,57,328,9,124,12,24,109,7,4,2,10,3,2013,12,December,6,12/6/2013
10383,1966,Graduation,Divorced,70287,0,0,2/4/2013 0:00,30,295,35,482,121,120,40,1,5,5,10,3,2013,2,February,4,2/4/2013
8375,1968,PhD,Married,55954,0,1,3/3/2014 0:00,63,447,0,28,0,0,43,3,8,2,6,7,2014,3,March,3,3/3/2014
6853,1982,Master,Single,75777,0,0,4/7/2013 0:00,12,712,26,538,69,13,80,1,3,6,11,1,2013,4,April,7,4/7/2013
3076,1975,Graduation,Married,66653,1,1,7/9/2012 0:00,18,452,18,102,16,18,6,4,4,2,12,3,2012,7,July,9,7/9/2012
6518,1951,PhD,Widow,67680,0,1,11/6/2013 0:00,8,546,0,48,0,6,6,1,7,3,8,5,2013,11,November,6,11/6/2013
4137,1948,Graduation,Married,70666,0,0,6/12/2013 0:00,29,398,40,367,119,122,30,1,7,4,4,4,2013,6,June,12,6/12/2013
1386,1967,Graduation,Married,32474,1,1,11/5/2014 0:00,0,10,0,1,0,0,0,1,1,0,2,7,2014,11,November,5,11/5/2014
1357,1970,Graduation,Married,74854,1,2,8/4/2013 0:00,90,856,59,487,58,29,73,7,2,5,5,5,2013,8,August,4,8/4/2013
1402,1954,Master,Married,66991,0,0,11/9/2012 0:00,1,496,36,460,189,60,12,3,4,8,6,3,2012,11,November,9,11/9/2012
8132,1975,PhD,Married,60631,1,1,5/4/2013 0:00,88,565,6,65,0,6,19,5,9,2,8,7,2013,5,May,4,5/4/2013
7503,1976,Graduation,Single,75825,0,0,12/10/2012 0:00,40,1032,105,779,137,105,51,0,5,8,9,4,2012,12,December,10,12/10/2012
10401,1976,Second cycle degree,Married,26326,0,0,4/9/2013 0:00,12,1,0,5,0,3,9,1,0,0,3,3,2013,4,April,9,4/9/2013
1618,1965,Graduation,Married,56046,0,0,2/1/2013 0:00,9,577,0,64,0,0,51,2,10,1,8,8,2013,2,February,1,2/1/2013
5346,1973,Second cycle degree,Married,23559,1,0,3/7/2013 0:00,87,25,5,19,7,0,23,3,3,0,3,7,2013,3,March,7,3/7/2013
4119,1963,Master,Married,38620,0,0,11/5/2013 0:00,56,112,17,44,34,22,89,1,2,5,3,3,2013,11,November,5,11/5/2013
5268,1960,Graduation,Married,29440,1,1,11/8/2013 0:00,95,17,8,14,10,4,3,2,1,0,4,7,2013,11,November,8,11/8/2013
8504,1973,Graduation,Married,79593,0,0,12/5/2014 0:00,70,350,60,568,110,133,145,1,5,6,7,2,2014,12,December,5,12/5/2014
11100,1972,Graduation,Divorced,51813,1,1,11/4/2013 0:00,37,51,2,7,0,1,2,2,2,0,3,7,2013,11,November,4,11/4/2013
4646,1951,Second cycle degree,Married,78497,0,0,1/12/2013 0:00,44,207,26,447,75,0,223,1,5,7,12,2,2013,1,January,12,1/12/2013
8908,1959,Graduation,Married,87195,0,0,8/5/2014 0:00,35,217,76,690,50,26,38,1,3,11,5,1,2014,8,August,5,8/5/2014
8373,1979,Basic,Married,24594,1,0,10/12/2013 0:00,94,1,3,6,10,0,9,1,1,0,3,5,2013,10,October,12,10/12/2013
2683,1969,Graduation,Married,52413,0,2,2/2/2013 0:00,56,295,106,271,75,98,65,4,6,4,12,6,2013,2,February,2,2/2/2013
10991,1960,Master,Married,89058,0,0,7/12/2012 0:00,18,454,194,106,31,22,43,1,5,4,4,2,2012,7,July,12,7/12/2012
5077,1979,Graduation,Married,77298,0,1,2/11/2013 0:00,46,425,115,292,23,35,79,1,6,6,11,3,2013,2,February,11,2/11/2013
7431,1991,PhD,Single,68126,0,0,10/11/2012 0:00,40,1332,17,311,23,51,86,1,7,4,5,9,2012,10,October,11,10/11/2012
999,1991,Graduation,Single,86037,0,0,2/1/2013 0:00,95,490,44,125,29,20,22,1,6,7,11,3,2013,2,February,1,2/1/2013
9215,1980,PhD,Married,43974,1,0,12/12/2012 0:00,19,378,0,101,0,0,72,5,6,4,6,7,2012,12,December,12,12/12/2012
2286,1962,Graduation,Single,50785,1,1,10/9/2013 0:00,27,64,1,21,0,1,27,2,2,1,3,6,2013,10,October,9,10/9/2013
5234,1967,Second cycle degree,Married,30753,1,1,11/7/2013 0:00,85,12,5,25,0,9,30,2,1,1,3,5,2013,11,November,7,11/7/2013
8442,1985,Master,Married,19510,2,0,4/9/2013 0:00,63,9,0,7,3,4,7,2,1,0,3,7,2013,4,April,9,4/9/2013
7215,1983,Graduation,Single,101970,0,0,12/3/2013 0:00,69,722,27,102,44,72,168,0,6,8,13,2,2013,12,December,3,12/3/2013
3381,1953,Master,Married,54348,1,1,8/6/2014 0:00,51,70,0,16,0,0,4,2,2,0,4,6,2014,8,August,6,8/6/2014
8268,1961,PhD,Married,,0,1,11/7/2013 0:00,23,352,0,27,10,0,15,3,6,1,7,6,2013,11,November,7,11/7/2013
11051,1956,PhD,Married,77376,1,1,10/5/2014 0:00,72,492,19,110,16,12,12,4,6,3,10,4,2014,10,October,5,10/5/2014
433,1958,Master,Single,61331,1,1,10/3/2013 0:00,42,534,5,47,0,5,41,5,11,1,6,8,2013,10,October,3,10/3/2013
